Twitter Username,Post,Date Posted
@Ainaa_Syana,I’m so embarrassed being citizen of this country. Even people from outside malaysia willing to help while our government being a failure like always. They don’t know which thing to prioritize and pretend that they’re doing their best already #KerajaanGagal,"Dec 19, 2021"
@AirellRezell,"It's good that we are all aware where our politicians, ministers go during crisis like this. For them to know, we are watching, we know, it's for us to make an informed decision when the time comes. 

They are under close scrutiny especially now. 

#RakyatJagaRakyat","Dec 23, 2021"
@AiringBells,"If only the authorities reacted this quickly during the floods!

#TangkapAzamBaki 
#RombakSPRM 
#KerajaanGagal","Jan 22, 2022"
@AisonHoh,"Malaysia Goverment : Communism is straightly prohibited ! 

Also Malaysia Goverment : 
- sue whoever talk shit about them
- can't discriminate ministers even tho they sucks (truly)
- censor bad reviews about them

#KerajaanBangsat
#KerajaanGagal
#noobshit","Jan 26, 2022"
@AizatBakar41,"At the end of the day, #RakyatJagaRakyat","Dec 19, 2021"
@AizatSays,Not #KerajaanGagalLagi trending as if it is a movie sequel to #KerajaanGagal ,"Dec 26, 2021"
@Aizuddin_Adli,Where is our “Keluarga Malaysia”?  #KerajaanGagal,"Dec 18, 2021"
@Aj36912151821,Kalau betul @IsmailSabri60 naik jadi PM kalini most probably aku akan log out semua social media aku dan ignore whatever SHITS happens in M'sia. Ive no longer have any hopes in a molecular level in our country anymore and so be it. #kerajaansial #KerajaanGagal,"Aug 19, 2021"
@AkaunNasional,But then they still clinging to Langkah Sheraton / Kerajaan Pintu Belakang. Fucking weak sial. The real #kerajaangagal is definitely PH.,"May 26, 2022"
@AkidRosli,"So when can we start voicing out our dissatisfaction towards Sabri? Best time to get him out like we did with Muhyiddin. One by one we hedge out shitty PMs until we get a decent one. 

#SabriGagal
#KerajaanGagal","Dec 19, 2021"
@AkmZafrn,You know what #KerajaanGagal,"Dec 19, 2021"
@AlawiyahYussof,"2/2
why appointment of your team is very important. They should be appointed based on  their capabilities NOT their support. 

You just proved that you continue the #KerajaanGagal which you inherited from @MuhyiddinYassin.

Lembap!","Dec 23, 2021"
@Alex72385784,"#KerajaanGagal S02 E01
Today the 14th day of the 7th lunar month is Ghost day
Ismail Sabri with a majority of 114 seats is being sworn in as the 9th PM today
In cantonese 114 is yat yat sei, hari hari mati
3years, 3 PM's, making GE14 d cheapest election in d history of Malaysia","Aug 21, 2021"
@Alex72385784,"Another get rich scheme in the making. Govt should not compete with local businesses they should come up with policies and support to encourage local businesses and entrepreneurs to come up with more ventures and start ups
#kerajaangagal","Sep 9, 2021"
@AlfatechBob,"He wont come..as he knows he will not be able to answer tthe questions..he will be publically put to shame on the debate.
#kerajaangagal 2.0.","Oct 22, 2021"
@AlfatechBob,"I hope the price comes to his senses..the money will vanish into thin air along transit and divert to off shore account..
Rakyat Dapat=O.
#Kerajaangagal 2.0","Dec 27, 2021"
@AlfatechBob,"They cant answer the question so they bully her..typicall PAS..and they are just sqatters in current..
#kerajaangagal 2.0","Nov 15, 2021"
@AlfatechBob,"This i a profile picture of a failed clown..
Kena tendang keluar as MB of Perak..tak malu ka..and yet still in cabinet kayu..
#kerajaangagal 2.0","Jan 11, 2022"
@AlfatechBob,"U have done nothing to assist her..but just trying to defend yourself..totally usless..
#kerajaangagal 2.0","Apr 17, 2022"
