Twitter Username,Post,Date Posted
@Aldeenor,"@IsmailSabri60's from the #KerajaanGagal & supported the #PMBodoh penderhaka, pengkhianat. What difference does it make to have him as the PM? #PMBodoh2?  @DrZahidHamidi @nordin_khaled @drasyrafwajdi @ShahrilHamdan @NajibRazak @NurJazlan @JazlanYaakub @tokmatn9 @AzalinaOthmanS","Aug 15, 2021"
@Aldeenor,"From left pocket to right pocket to left again..hampeh.. @IsmailSabri60's from the #KerajaanGagal #KerajaanDerhaka & supported the #PMBodoh penderhaka, pengkhianat b4. What difference does it make to have him as the PM? #PMBodoh2?
@DrPuadZarkashi @DrZahidHamidi @nordin_khaled","Aug 15, 2021"
@Aldeenor,"From left pocket to right pocket to left again..hampeh... @IsmailSabri60's from the #KerajaanGagal #KerajaanDerhaka & supported the #PMBodoh penderhaka, pengkhianat b4. What difference does it make to have him as the PM? #PMBodoh2? @NajibRazak @ahmadmaslan @tengkurazaleigh","Aug 15, 2021"
@Alex72385784,"#KerajaanGagal S02 E01
Today the 14th day of the 7th lunar month is Ghost day
Ismail Sabri with a majority of 114 seats is being sworn in as the 9th PM today
In cantonese 114 is yat yat sei, hari hari mati
3years, 3 PM's, making GE14 d cheapest election in d history of Malaysia","Aug 21, 2021"
@Alex72385784,"#KerajaanGagal diganti oleh #KerajaanGagal 

2 wrongs don't make 1 right","Aug 19, 2021"
@Alex72385784,"Another get rich scheme in the making. Govt should not compete with local businesses they should come up with policies and support to encourage local businesses and entrepreneurs to come up with more ventures and start ups
#kerajaangagal","Sep 9, 2021"
@Alex72385784,"So, #kerajaangagal has collapse. Politicians, experts have given their opinions. 

The people had spoken, shouted, argued, cursed n swear all over social media.

In the end none of tht matters cos ur voice, opinions don't matter. The peole is jz an inconvinience

Just wait n see","Aug 16, 2021"
@AlexJoe18180155,#KerajaanGagal is back ,"Nov 20, 2022"
@AlfatechBob,"He wont come..as he knows he will not be able to answer tthe questions..he will be publically put to shame on the debate.
#kerajaangagal 2.0.","Oct 22, 2021"
@AlfatechBob,"I hope the price comes to his senses..the money will vanish into thin air along transit and divert to off shore account..
Rakyat Dapat=O.
#Kerajaangagal 2.0","Dec 27, 2021"
@AlfatechBob,"They cant answer the question so they bully her..typicall PAS..and they are just sqatters in current..
#kerajaangagal 2.0","Nov 15, 2021"
@AlfatechBob,"This i a profile picture of a failed clown..
Kena tendang keluar as MB of Perak..tak malu ka..and yet still in cabinet kayu..
#kerajaangagal 2.0","Jan 11, 2022"
@AlfatechBob,"U have done nothing to assist her..but just trying to defend yourself..totally usless..
#kerajaangagal 2.0","Apr 17, 2022"
@AlfredJuan,Such egocentric loners with an overinflated sense of self-worth governing the country! Clearly you take the people for fools and have completely no respect for the rakyat. We the people should take a stand and make it known. #cabinetreshuffle #Rakyat #KerajaanGagal #reformasi,"Aug 27, 2021"
@AlifNasir_,#KerajaanGagal again? ,"Nov 9, 2022"
@AllanGelion,"The govt deploying many valuable resources to combat the peaceful demonstration at the drop of a bucket yet they couldn’t do shit during the flood 

#KerajaanGagal","Jan 22, 2022"
@Altaria_Motives,"#rakyatjagarakyat the rakyat are organising rescue parties, food banks, shelters, while Ismail Sabri and his gang of merry men are still recovering from hangovers after partying and eating cake all night. Selfish old farts. #KerajaanGagal","Dec 19, 2021"
@AlvinLim96,Hopefully #KerajaanGagal does not happen again,"Nov 22, 2022"
@AmiShaff,Back to #KerajaanGagal,"Nov 20, 2022"
@AmidMaran,"If they really care about C19, they could have performed better. Yes they understood being #kerajaangagal but their personal agenda is their priorities. Its like in a war, people died and properties ruined, yet the victory is still celebrated.","Aug 15, 2021"
@Aminsid3k,"The sloth & The snake 
#KerajaanGagal","Aug 18, 2021"
@AmirTheName,So apparently the cop defended their decision on blocking the ambulance way to allow our PM crossing the traffic. What a country we are all living in. Shame on you stupid government  #KerajaanBangsat #KerajaanGagal #kerajaanbodoh,"Dec 27, 2021"
@AmirahKhaulah,"Hello Menu Rahmah? Are you okey?

#KerajaanGagal #pmxtoxpm",Mar 23
@AmirulAm33n,#KerajaanGagal here we go again,"Nov 9, 2022"
@Amirul_onlyme,Well it’s already gagal not even 100 hari memerintah. #KerajaanGagal,"Aug 27, 2021"
@Amjadnasir_,"WHERE THE FUCK IS THE PM 
#KerajaanGagal","Dec 18, 2021"
@AmyRamli93,"I would like to thank all the people who helped others in this time of need. Thanks to all the good samaritans and emergency services personnel who are breaking their backs and stretched out thin to help everyone. If anyone deserves high praise, its them.  #KerajaanGagal","Dec 20, 2021"
@AmyRamli93,"Now I'm saying it. #KerajaanGagal.
So many things should have been done the moment people start saying water levels have risen. 
Our emergency services are stretched thin. A lot of people are still stranded, hungry. Where are the higher ups? Photo op? Chilling?","Dec 19, 2021"
@AnakMal67493541,#KerajaanGagal  not dat father of mco again. Shameless n brazen idiot of low I.Q.,"Nov 21, 2022"
@AndrewHosea,"Shitty performance in their job. Gets promoted.

Only in Malaysia
#NotMyPM
#KerajaanGagal","Aug 20, 2021"
@AndyNgYC,Why come out #kerajaangagal during that time? Dont mean he had so much so experience but helpless to Malaysia dude,"Nov 18, 2022"
@AnggunxXOXO,"People exhausted and dying and all of these MF MPs, who were lost in the last GE including the traitors of people's mandate, still fighting for power hunger game. May all of you rot in hell forever. Shame on you! #KerajaanGagal #KerajaanBodoh","Aug 19, 2021"
@AniJazilah,"#KerajaanGagal 
#DaruratBanjir
#RakyatTolongRakyat 

Come on Malaysia! Help each other rn","Dec 19, 2021"
@ApitDevine,#Kerajaangagal trending again.,"Nov 9, 2022"
@ArAsyikin,"Maybe god will challenge us so we can know the true colours of these politicians. Tengok masa covid, its #KerajaanGagal. Now banjir, its #KerajaanGagalLagi. Maybe we should fight for the rightful leader. A good leader is what we need. A blessing malaysia longed for years.","Dec 22, 2021"
@AravinM1,"To all my Indian friends out there, pls don't pay any amount to the temples during this Thaipusam. Especially to pour the milk or do archanai. Instead stay at home and pray to lord Muruga to give a better Indian leaders to our safe our community.
#wellplanned 
#KerajaanGagal","Jan 13, 2022"
@Armand52638527,#KerajaanGagal 2.0 coming,"Aug 20, 2021"
@ArmandKugan,"#KerajaanGagal seems like too kind of a hashtag to use on these incompetent leaders. 

Please never forget. We cannot let this kind of incompetence claim more lives ever again.","Dec 19, 2021"
@ArmandKugan,Time and time again. When will enough be enough? #KerajaanGagal,"Dec 19, 2021"
@ArtOfReinaV,Nice to see #KerajaanGagal trending again heh Faileddd government hehhhh,"Oct 10, 2022"
@ArulB_82,"We kicked you out few years ago.. 
You came back from back door with your bloody thick skin and shameless way to kill thousand of us as a payback is it?? 
#letakjawatanismailsabri
#KerajaanGagal
#PrayForMalaysia","Dec 24, 2021"
